* Measurement data measured by REW V5.31
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R Zero Red Stock Narrow, R Zero Red Stock Narrow
* Dated: 29-Apr-2024 11:05:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of R Zero Red Stock Narrow, R Zero Red Stock Narrow
* Measurement: Zero Red Stock Narrow R2
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
207.494324	93.229
208.997925	93.234
210.512405	93.240
212.037857	93.246
213.574371	93.253
215.122025	93.260
216.680893	93.268
218.251053	93.275
219.832581	93.283
221.425583	93.291
223.030121	93.300
224.646286	93.309
226.274170	93.321
227.913849	93.334
229.565399	93.347
231.228928	93.360
232.904510	93.372
234.592224	93.385
236.292191	93.398
238.004456	93.411
239.729126	93.425
241.466309	93.438
243.216080	93.452
244.978516	93.466
246.753738	93.479
248.541809	93.492
250.342850	93.505
252.156937	93.520
253.984161	93.535
255.824646	93.550
257.678467	93.566
259.545685	93.583
261.426483	93.601
263.320862	93.619
265.229004	93.636
267.150970	93.651
269.086853	93.664
271.036774	93.674
273.000824	93.682
274.979095	93.692
276.971710	93.701
278.978760	93.712
281.000336	93.722
283.036591	93.732
285.087585	93.743
287.153442	93.755
289.234283	93.768
291.330200	93.781
293.441284	93.794
295.567688	93.806
297.709503	93.820
299.866821	93.833
302.039795	93.846
304.228485	93.858
306.433044	93.868
308.653595	93.876
310.890228	93.883
313.143066	93.889
315.412231	93.894
317.697845	93.897
320.000000	93.899
322.318848	93.902
324.654510	93.905
327.007080	93.907
329.376709	93.908
331.763519	93.909
334.167603	93.910
336.589142	93.911
339.028198	93.914
341.484924	93.919
343.959473	93.928
346.451935	93.943
348.962463	93.964
351.491211	93.993
354.038239	94.031
356.603760	94.078
359.187866	94.132
361.790680	94.187
364.412354	94.241
367.053040	94.291
369.712860	94.336
372.391968	94.373
375.090454	94.400
377.808533	94.419
380.546265	94.433
383.303864	94.441
386.081451	94.445
388.879150	94.446
391.697144	94.446
394.535522	94.446
397.394501	94.447
400.274170	94.447
403.174744	94.446
406.096313	94.443
409.039062	94.440
412.003113	94.437
414.988647	94.435
417.995850	94.434
421.024811	94.433
424.075714	94.432
427.148743	94.431
430.244049	94.430
433.361786	94.428
436.502106	94.427
439.665161	94.426
442.851166	94.424
446.060242	94.424
449.292572	94.424
452.548340	94.424
455.827698	94.425
459.130798	94.425
462.457855	94.425
465.809021	94.425
469.184448	94.425
472.584381	94.424
476.008911	94.424
479.458252	94.424
482.932617	94.423
486.432159	94.422
489.957031	94.421
493.507477	94.420
497.083618	94.420
500.685699	94.420
504.313873	94.420
507.968323	94.419
511.649292	94.418
515.356934	94.417
519.091370	94.416
522.852966	94.415
526.641724	94.415
530.458008	94.415
534.301941	94.416
538.173706	94.416
542.073547	94.417
546.001648	94.418
549.958191	94.418
553.943420	94.418
557.957520	94.419
562.000671	94.420
566.073181	94.421
570.175171	94.422
574.306885	94.424
578.468567	94.425
582.660400	94.427
586.882568	94.429
591.135376	94.431
595.419006	94.432
599.733643	94.433
604.079590	94.434
608.456970	94.435
612.866089	94.437
617.307190	94.440
621.780457	94.442
626.286133	94.444
630.824463	94.446
635.395691	94.449
640.000000	94.452
644.637695	94.456
649.309021	94.459
654.014160	94.463
658.753418	94.467
663.527039	94.471
668.335205	94.476
673.178284	94.480
678.056396	94.485
682.969849	94.491
687.918945	94.496
692.903870	94.501
697.924927	94.505
702.982422	94.509
708.076477	94.515
713.207520	94.522
718.375732	94.529
723.581360	94.536
728.824707	94.543
734.106079	94.551
739.425720	94.560
744.783936	94.569
750.180908	94.578
755.617065	94.587
761.092529	94.596
766.607727	94.605
772.162903	94.614
777.758301	94.624
783.394287	94.636
789.071045	94.648
794.789001	94.662
800.548340	94.675
806.349487	94.689
812.192627	94.703
818.078125	94.718
824.006226	94.733
829.977295	94.749
835.991699	94.766
842.049622	94.783
848.151428	94.801
854.297485	94.819
860.488098	94.838
866.723572	94.859
873.004211	94.881
879.330322	94.903
885.702332	94.926
892.120483	94.948
898.585144	94.973
905.096680	94.999
911.655396	95.026
918.261597	95.055
924.915710	95.085
931.618042	95.114
938.368896	95.141
945.168762	95.165
952.017822	95.184
958.916504	95.199
965.865234	95.214
972.864319	95.234
979.914062	95.264
987.014954	95.303
994.167236	95.349
1001.371399	95.399
1008.627747	95.451
1015.936646	95.503
1023.298584	95.555
1030.713867	95.603
1038.182739	95.650
1045.705933	95.694
1053.283447	95.737
1060.916016	95.779
1068.603882	95.821
1076.347412	95.863
1084.147095	95.904
1092.003296	95.945
1099.916382	95.987
1107.886841	96.028
1115.915039	96.070
1124.001343	96.111
1132.146362	96.151
1140.350342	96.190
1148.613770	96.229
1156.937134	96.267
1165.320801	96.305
1173.765137	96.342
1182.270752	96.379
1190.838013	96.415
1199.467285	96.451
1208.159180	96.488
1216.913940	96.523
1225.732178	96.559
1234.614380	96.595
1243.560913	96.632
1252.572266	96.669
1261.648926	96.706
1270.791382	96.745
1280.000000	96.784
1289.275391	96.825
1298.618042	96.867
1308.028320	96.909
1317.506836	96.953
1327.054077	96.997
1336.670410	97.041
1346.356567	97.085
1356.112793	97.129
1365.939697	97.173
1375.837891	97.217
1385.807739	97.262
1395.849854	97.309
1405.964844	97.355
1416.152954	97.402
1426.415039	97.450
1436.751465	97.497
1447.162720	97.545
1457.649414	97.593
1468.212158	97.641
1478.851440	97.688
1489.567871	97.734
1500.361816	97.779
1511.234131	97.823
1522.185059	97.864
1533.215454	97.905
1544.325806	97.945
1555.516602	97.988
1566.788574	98.033
1578.142090	98.083
1589.578003	98.137
1601.096680	98.197
1612.698975	98.263
1624.385254	98.335
1636.156250	98.412
1648.012451	98.491
1659.954590	98.568
1671.983398	98.642
1684.099243	98.711
1696.302856	98.772
1708.594971	98.827
1720.976196	98.876
1733.447144	98.921
1746.008423	98.962
1758.660645	99.002
1771.404663	99.039
1784.240967	99.075
1797.170288	99.111
1810.193359	99.147
1823.310791	99.184
1836.523193	99.221
1849.831421	99.258
1863.236084	99.294
1876.737793	99.331
1890.337524	99.368
1904.035645	99.407
1917.833008	99.447
1931.730469	99.487
1945.728638	99.529
1959.828125	99.571
1974.029907	99.614
1988.334473	99.657
2002.742798	99.702
2017.255493	99.749
2031.873291	99.798
2046.597168	99.852
2061.427734	99.912
2076.365479	99.979
2091.411865	100.055
2106.566895	100.142
2121.832031	100.239
2137.207764	100.347
2152.694824	100.463
2168.294189	100.585
2184.006592	100.711
2199.832764	100.836
2215.773682	100.958
2231.830078	101.077
2248.002686	101.190
2264.292725	101.298
2280.700684	101.400
2297.227539	101.494
2313.874268	101.582
2330.641602	101.665
2347.530273	101.744
2364.541504	101.821
2381.676025	101.895
2398.934570	101.967
2416.318359	102.035
2433.827881	102.102
2451.464355	102.167
2469.228760	102.232
2487.121826	102.297
2505.144531	102.361
2523.297852	102.423
2541.582764	102.483
2560.000000	102.542
2578.550781	102.600
2597.236084	102.658
2616.056641	102.718
2635.013672	102.779
2654.108154	102.842
2673.340820	102.906
2692.713135	102.971
2712.225586	103.036
2731.879395	103.101
2751.675781	103.165
2771.615479	103.227
2791.699707	103.286
2811.929688	103.341
2832.305908	103.392
2852.830078	103.438
2873.502930	103.480
2894.325439	103.518
2915.298828	103.553
2936.424316	103.586
2957.702881	103.618
2979.135742	103.647
3000.723633	103.673
3022.468262	103.693
3044.370117	103.710
3066.430908	103.724
3088.651611	103.737
3111.033203	103.749
3133.577148	103.761
3156.284180	103.774
3179.156006	103.788
3202.193359	103.803
3225.397949	103.820
3248.770508	103.838
3272.312500	103.858
3296.024902	103.879
3319.909180	103.900
3343.966797	103.919
3368.198486	103.935
3392.605713	103.950
3417.189941	103.962
3441.952393	103.968
3466.894287	103.971
3492.016846	103.970
3517.321289	103.971
3542.809326	103.972
3568.481934	103.976
3594.340576	103.981
3620.386719	103.987
3646.621582	103.996
3673.046387	104.007
3699.662842	104.019
3726.472168	104.032
3753.475586	104.048
3780.675049	104.066
3808.071289	104.085
3835.666016	104.105
3863.460938	104.124
3891.457275	104.141
3919.656250	104.156
3948.059814	104.166
3976.668945	104.169
4005.485596	104.161
4034.510986	104.142
4063.746582	104.114
4093.194336	104.080
4122.855469	104.043
4152.730957	104.005
4182.823730	103.965
4213.133789	103.924
4243.664062	103.881
4274.415527	103.838
4305.389648	103.793
4336.588379	103.747
4368.013184	103.700
4399.665527	103.652
4431.547363	103.603
4463.660156	103.554
4496.005371	103.503
4528.585449	103.451
4561.401367	103.397
4594.455078	103.340
4627.748535	103.283
4661.283203	103.225
4695.060547	103.167
4729.083008	103.110
4763.352051	103.055
4797.869141	103.002
4832.636719	102.951
4867.655762	102.902
4902.928711	102.855
4938.457520	102.812
4974.243652	102.770
5010.289062	102.730
5046.595703	102.689
5083.165527	102.649
5120.000000	102.607
5157.101562	102.564
5194.472168	102.517
5232.113281	102.469
5270.027344	102.418
5308.216309	102.366
5346.681641	102.311
5385.426270	102.255
5424.451172	102.200
5463.758789	102.145
5503.351562	102.093
5543.230957	102.043
5583.399414	101.998
5623.859375	101.958
5664.611816	101.924
5705.660156	101.895
5747.005859	101.870
5788.650879	101.851
5830.597656	101.837
5872.848633	101.829
5915.405762	101.828
5958.271484	101.833
6001.447266	101.840
6044.936523	101.849
6088.740234	101.860
6132.861816	101.877
6177.303223	101.902
6222.066406	101.934
6267.154297	101.974
6312.568359	102.022
6358.312012	102.076
6404.386719	102.137
6450.795898	102.206
6497.541016	102.283
6544.625000	102.367
6592.049805	102.458
6639.818359	102.555
6687.933594	102.657
6736.396973	102.765
6785.211426	102.875
6834.379883	102.987
6883.904785	103.098
6933.788574	103.206
6984.033691	103.306
7034.642578	103.397
7085.618652	103.474
7136.963867	103.532
7188.681152	103.568
7240.773438	103.576
7293.243164	103.552
7346.092773	103.490
7399.325684	103.384
7452.944336	103.228
7506.951172	103.020
7561.350098	102.759
7616.142578	102.448
7671.332031	102.090
7726.921875	101.690
7782.914551	101.255
7839.312500	100.793
7896.119629	100.311
7953.337891	99.817
8010.971191	99.318
8069.021973	98.817
8127.493164	98.321
8186.388672	97.830
8245.710938	97.350
8305.461914	96.880
8365.647461	96.423
8426.267578	95.979
8487.328125	95.546
8548.831055	95.124
8610.779297	94.716
8673.176758	94.319
8736.026367	93.935
8799.331055	93.562
8863.094727	93.199
8927.320312	92.845
8992.010742	92.498
9057.170898	92.160
9122.802734	91.829
9188.910156	91.506
9255.497070	91.189
9322.566406	90.879
9390.121094	90.577
9458.166016	90.286
9526.704102	90.007
9595.738281	89.745
9665.273438	89.499
9735.311523	89.273
9805.857422	89.068
9876.915039	88.886
9948.487305	88.729
10020.578125	88.598
10093.191406	88.492
10166.331055	88.412
10240.000000	88.355
10314.203125	88.321
10388.944336	88.312
10464.226562	88.327
10540.054688	88.368
10616.432617	88.433
10693.363281	88.523
10770.852539	88.636
10848.902344	88.772
10927.517578	88.929
11006.703125	89.104
11086.461914	89.295
11166.798828	89.499
11247.718750	89.709
11329.223633	89.918
11411.320312	90.116
11494.011719	90.292
