* Measurement data measured by REW V5.31
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L, L
* Dated: 16-Apr-2024 00:53:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of L, L
* Measurement: Hola L3
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
218.251053	109.585
219.832581	109.555
221.425583	109.526
223.030121	109.499
224.646286	109.475
226.274170	109.452
227.913849	109.428
229.565399	109.404
231.228928	109.382
232.904510	109.363
234.592224	109.346
236.292191	109.331
238.004456	109.316
239.729126	109.297
241.466309	109.275
243.216080	109.253
244.978516	109.232
246.753738	109.213
248.541809	109.197
250.342850	109.180
252.156937	109.161
253.984161	109.139
255.824646	109.117
257.678467	109.095
259.545685	109.073
261.426483	109.051
263.320862	109.032
265.229004	109.011
267.150970	108.991
269.086853	108.974
271.036774	108.958
273.000824	108.938
274.979095	108.913
276.971710	108.889
278.978760	108.869
281.000336	108.856
283.036591	108.843
285.087585	108.827
287.153442	108.810
289.234283	108.797
291.330200	108.789
293.441284	108.780
295.567688	108.766
297.709503	108.749
299.866821	108.738
302.039795	108.732
304.228485	108.726
306.433044	108.716
308.653595	108.706
310.890228	108.698
313.143066	108.692
315.412231	108.685
317.697845	108.677
320.000000	108.670
322.318848	108.661
324.654510	108.648
327.007080	108.635
329.376709	108.623
331.763519	108.611
334.167603	108.599
336.589142	108.586
339.028198	108.572
341.484924	108.560
343.959473	108.550
346.451935	108.538
348.962463	108.522
351.491211	108.504
354.038239	108.488
356.603760	108.473
359.187866	108.460
361.790680	108.449
364.412354	108.438
367.053040	108.425
369.712860	108.414
372.391968	108.406
375.090454	108.399
377.808533	108.392
380.546265	108.381
383.303864	108.371
386.081451	108.361
388.879150	108.351
391.697144	108.339
394.535522	108.327
397.394501	108.318
400.274170	108.312
403.174744	108.307
406.096313	108.302
409.039062	108.294
412.003113	108.284
414.988647	108.274
417.995850	108.264
421.024811	108.257
424.075714	108.250
427.148743	108.244
430.244049	108.236
433.361786	108.228
436.502106	108.220
439.665161	108.213
442.851166	108.205
446.060242	108.195
449.292572	108.186
452.548340	108.180
455.827698	108.175
459.130798	108.169
462.457855	108.164
465.809021	108.159
469.184448	108.154
472.584381	108.147
476.008911	108.139
479.458252	108.133
482.932617	108.127
486.432159	108.121
489.957031	108.117
493.507477	108.113
497.083618	108.109
500.685699	108.104
504.313873	108.098
