* Measurement data measured by REW V5.31
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Buds+, L Buds+
* Dated: 29-Apr-2024 11:39:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of L Buds+, L Buds+
* Measurement: Buds+ L1
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
215.122025	99.232
216.680893	99.212
218.251053	99.193
219.832581	99.173
221.425583	99.152
223.030121	99.130
224.646286	99.107
226.274170	99.082
227.913849	99.058
229.565399	99.034
231.228928	99.012
232.904510	98.991
234.592224	98.971
236.292191	98.951
238.004456	98.929
239.729126	98.906
241.466309	98.882
243.216080	98.858
244.978516	98.835
246.753738	98.813
248.541809	98.790
250.342850	98.768
252.156937	98.745
253.984161	98.723
255.824646	98.703
257.678467	98.685
259.545685	98.671
261.426483	98.661
263.320862	98.657
265.229004	98.661
267.150970	98.674
269.086853	98.698
271.036774	98.735
273.000824	98.782
274.979095	98.839
276.971710	98.900
278.978760	98.961
281.000336	99.017
283.036591	99.065
285.087585	99.101
287.153442	99.125
289.234283	99.139
291.330200	99.145
293.441284	99.145
295.567688	99.141
297.709503	99.132
299.866821	99.119
302.039795	99.102
304.228485	99.082
306.433044	99.059
308.653595	99.035
310.890228	99.012
313.143066	98.992
315.412231	98.973
317.697845	98.954
320.000000	98.935
322.318848	98.915
324.654510	98.897
327.007080	98.880
329.376709	98.863
331.763519	98.847
334.167603	98.832
336.589142	98.817
339.028198	98.803
341.484924	98.789
343.959473	98.774
346.451935	98.759
348.962463	98.743
351.491211	98.727
354.038239	98.711
356.603760	98.696
359.187866	98.682
361.790680	98.669
364.412354	98.655
367.053040	98.640
369.712860	98.624
372.391968	98.606
375.090454	98.588
377.808533	98.570
380.546265	98.553
383.303864	98.535
386.081451	98.518
388.879150	98.502
391.697144	98.487
394.535522	98.473
397.394501	98.460
400.274170	98.446
403.174744	98.431
406.096313	98.417
409.039062	98.404
412.003113	98.391
414.988647	98.377
417.995850	98.363
421.024811	98.349
424.075714	98.334
427.148743	98.321
430.244049	98.309
433.361786	98.296
436.502106	98.283
439.665161	98.269
442.851166	98.255
446.060242	98.240
449.292572	98.224
452.548340	98.207
455.827698	98.191
459.130798	98.174
462.457855	98.159
465.809021	98.148
469.184448	98.139
472.584381	98.131
476.008911	98.121
479.458252	98.109
482.932617	98.095
486.432159	98.082
489.957031	98.070
493.507477	98.059
497.083618	98.048
500.685699	98.036
504.313873	98.024
507.968323	98.012
511.649292	97.998
515.356934	97.983
519.091370	97.967
522.852966	97.951
526.641724	97.938
530.458008	97.925
534.301941	97.914
538.173706	97.904
542.073547	97.894
546.001648	97.883
549.958191	97.871
553.943420	97.859
557.957520	97.848
562.000671	97.837
566.073181	97.826
570.175171	97.815
574.306885	97.804
578.468567	97.793
582.660400	97.782
586.882568	97.773
591.135376	97.763
595.419006	97.755
599.733643	97.746
604.079590	97.738
608.456970	97.729
612.866089	97.719
617.307190	97.708
621.780457	97.698
626.286133	97.689
630.824463	97.681
635.395691	97.672
640.000000	97.662
644.637695	97.651
