Freq[Hz]     dBSPL  Phase[Deg]
153.217     56.480   -15.453
155.445     56.424   -15.158
157.706     56.364   -14.777
160.000     56.322   -14.340
162.327     56.288   -13.899
164.688     56.264   -13.471
167.084     56.245   -13.070
169.514     56.228   -12.693
171.980     56.211   -12.335
174.481     56.194   -11.983
177.019     56.178   -11.630
179.594     56.165   -11.276
182.206     56.153   -10.922
184.856     56.145   -10.571
187.545     56.141   -10.234
190.273     56.140    -9.917
193.041     56.139    -9.623
195.849     56.139    -9.350
198.697     56.139    -9.097
201.587     56.136    -8.862
204.520     56.131    -8.639
207.494     56.122    -8.416
210.512     56.110    -8.181
213.574     56.097    -7.934
216.681     56.080    -7.665
219.833     56.063    -7.354
223.030     56.052    -7.012
226.274     56.044    -6.648
229.565     56.044    -6.265
232.905     56.054    -5.892
236.292     56.070    -5.549
239.729     56.089    -5.240
243.216     56.109    -4.961
246.754     56.129    -4.705
250.343     56.149    -4.467
253.984     56.169    -4.245
257.678     56.190    -4.035
261.426     56.210    -3.838
265.229     56.230    -3.653
269.087     56.250    -3.477
273.001     56.270    -3.311
276.972     56.290    -3.155
281.000     56.310    -3.008
285.088     56.330    -2.869
289.234     56.350    -2.738
293.441     56.370    -2.616
297.709     56.390    -2.502
302.040     56.410    -2.395
306.433     56.430    -2.297
310.890     56.450    -2.206
315.412     56.470    -2.124
320.000     56.490    -2.049
324.655     56.510    -1.983
329.377     56.530    -1.925
334.168     56.550    -1.875
339.028     56.570    -1.834
343.959     56.590    -1.802
348.962     56.610    -1.779
354.038     56.630    -1.766
359.188     56.650    -1.762
364.412     56.671    -1.766
369.713     56.691    -1.776
375.090     56.719    -1.809
380.546     56.746    -1.881
386.081     56.781    -2.025
391.697     56.803    -2.259
397.394     56.804    -2.509
403.175     56.800    -2.751
409.039     56.780    -2.973
414.989     56.748    -3.113
421.025     56.728    -3.203
427.149     56.704    -3.283
433.362     56.681    -3.345
439.665     56.656    -3.395
446.060     56.630    -3.424
452.548     56.604    -3.434
459.131     56.578    -3.427
465.809     56.552    -3.405
472.584     56.527    -3.370
479.458     56.503    -3.325
486.432     56.479    -3.271
493.507     56.455    -3.209
500.686     56.432    -3.141
507.968     56.409    -3.067
515.357     56.386    -2.986
522.853     56.363    -2.898
530.458     56.340    -2.803
538.174     56.317    -2.700
546.002     56.294    -2.591
553.943     56.271    -2.473
562.001     56.248    -2.348
570.175     56.225    -2.215
578.469     56.202    -2.074
586.883     56.179    -1.925
595.419     56.156    -1.766
604.080     56.133    -1.598
612.866     56.109    -1.420
621.780     56.086    -1.231
630.824     56.063    -1.031
640.000     56.040    -0.817
649.309     56.017    -0.589
658.753     55.994    -0.343
668.335     55.971    -0.076
678.056     55.950     0.218
687.919     55.930     0.541
697.925     55.916     0.887
708.077     55.908     1.247
718.376     55.906     1.607
728.825     55.909     1.955
739.426     55.916     2.285
750.181     55.925     2.596
761.093     55.934     2.893
772.163     55.943     3.181
783.394     55.951     3.462
794.789     55.960     3.741
806.349     55.969     4.018
818.078     55.978     4.295
829.977     55.987     4.573
842.050     55.996     4.855
854.298     56.005     5.141
866.724     56.014     5.434
879.330     56.023     5.736
892.120     56.032     6.049
905.097     56.041     6.380
918.262     56.051     6.732
931.618     56.063     7.112
945.169     56.081     7.517
958.917     56.105     7.933
972.864     56.136     8.348
987.015     56.175     8.748
1001.37     56.218     9.121
1015.94     56.262     9.467
1030.71     56.308     9.790
1045.71     56.354    10.097
1060.92     56.399    10.392
1076.35     56.445    10.679
1092.00     56.490    10.960
1107.89     56.536    11.237
1124.00     56.582    11.513
1140.35     56.627    11.789
1156.94     56.673    12.069
1173.77     56.719    12.355
1190.84     56.764    12.651
1208.16     56.810    12.963
1225.73     56.856    13.300
1243.56     56.904    13.670
1261.65     56.957    14.080
1280.00     57.020    14.520
1298.62     57.096    14.969
1317.51     57.183    15.401
1336.67     57.282    15.793
1356.11     57.389    16.128
1375.84     57.498    16.407
1395.85     57.608    16.637
1416.15     57.718    16.829
1436.75     57.828    16.989
1457.65     57.938    17.124
1478.85     58.048    17.237
1500.36     58.158    17.332
1522.19     58.269    17.414
1544.33     58.381    17.486
1566.79     58.495    17.547
1589.58     58.612    17.593
1612.70     58.732    17.623
1636.16     58.855    17.631
1659.95     58.981    17.612
1684.10     59.109    17.566
1708.60     59.239    17.492
1733.45     59.370    17.391
1758.66     59.501    17.267
1784.24     59.632    17.126
1810.19     59.764    16.976
1836.52     59.897    16.827
1863.24     60.035    16.682
1890.34     60.181    16.534
1917.83     60.338    16.363
1945.73     60.506    16.145
1974.03     60.684    15.859
2002.74     60.868    15.488
2031.87     61.054    15.029
2061.43     61.242    14.488
2091.41     61.429    13.870
2121.83     61.617    13.177
2152.69     61.804    12.409
2184.01     61.991    11.564
2215.77     62.179    10.636
2248.00     62.366     9.615
2280.70     62.553     8.487
2313.87     62.735     7.235
2347.53     62.908     5.852
2381.68     63.063     4.352
2416.32     63.198     2.769
2451.46     63.312     1.141
2487.12     63.408    -0.503
2523.30     63.491    -2.148
2560.00     63.565    -3.809
2597.24     63.627    -5.500
2635.01     63.673    -7.211
2673.34     63.704    -8.923
2712.23     63.718   -10.613
2751.68     63.721   -12.263
2791.70     63.718   -13.889
2832.31     63.706   -15.499
2873.50     63.686   -17.088
2915.30     63.657   -18.652
2957.70     63.622   -20.180
3000.72     63.586   -21.686
3044.37     63.550   -23.200
3088.65     63.513   -24.761
3133.58     63.464   -26.383
3179.16     63.393   -28.033
3225.40     63.300   -29.660
3272.31     63.184   -31.215
3319.91     63.053   -32.662
3368.20     62.915   -33.997
3417.19     62.775   -35.235
3466.89     62.635   -36.395
3517.32     62.495   -37.489
3568.48     62.355   -38.527
3620.39     62.215   -39.513
3673.05     62.074   -40.451
3726.47     61.934   -41.344
3780.67     61.794   -42.195
3835.67     61.653   -43.004
3891.46     61.513   -43.772
3948.06     61.373   -44.501
4005.49     61.232   -45.190
4063.75     61.092   -45.837
4122.86     60.952   -46.442
4182.82     60.811   -47.002
4243.66     60.671   -47.513
4305.39     60.531   -47.968
4368.01     60.390   -48.352
4431.55     60.254   -48.654
4496.01     60.124   -48.861
4561.40     60.011   -48.992
4627.75     59.918   -49.093
4695.06     59.844   -49.195
4763.35     59.789   -49.338
4832.64     59.744   -49.555
4902.93     59.703   -49.828
4974.24     59.666   -50.146
5046.60     59.631   -50.501
5120.00     59.602   -50.889
5194.47     59.579   -51.328
5270.03     59.559   -51.832
5346.68     59.538   -52.408
5424.45     59.512   -53.045
5503.35     59.475   -53.713
5583.40     59.431   -54.380
5664.61     59.382   -55.030
5747.01     59.333   -55.657
5830.60     59.287   -56.272
5915.41     59.245   -56.889
6001.45     59.205   -57.518
6088.74     59.167   -58.160
6177.30     59.131   -58.815
6267.15     59.098   -59.482
6358.31     59.067   -60.165
6450.80     59.040   -60.867
6544.62     59.018   -61.597
6639.82     59.001   -62.369
6736.40     58.986   -63.190
6834.38     58.972   -64.060
6933.79     58.959   -64.980
7034.64     58.947   -65.950
7136.96     58.936   -66.978
7240.77     58.927   -68.079
7346.09     58.918   -69.269
7452.94     58.900   -70.548
7561.35     58.873   -71.893
7671.33     58.836   -73.290
7782.91     58.790   -74.725
7896.12     58.737   -76.192
8010.97     58.682   -77.710
8127.49     58.621   -79.302
8245.71     58.549   -80.977
8365.65     58.460   -82.719
8487.33     58.350   -84.495
8610.78     58.220   -86.273
8736.03     58.073   -88.026
8863.09     57.914   -89.744
8992.01     57.748   -91.439
9122.80     57.574   -93.125
9255.50     57.392   -94.806
9390.12     57.201   -96.485
9526.70     57.002   -98.165
9665.27     56.797   -99.859
9805.86     56.589  -101.605
9948.49     56.371  -103.444
10093.2     56.133  -105.401
10240.0     55.856  -107.438
10388.9     55.528  -109.460
10540.1     55.149  -111.356
10693.4     54.720  -113.021
10848.9     54.259  -114.384
11006.7     53.784  -115.439
11166.8     53.304  -116.208
11329.2     52.826  -116.710
11494.0     52.352  -116.961
11661.2     51.889  -116.975
11830.8     51.441  -116.781
12002.9     51.009  -116.401
12177.5     50.595  -115.847
12354.6     50.197  -115.122
12534.3     49.818  -114.208
12716.6     49.468  -113.112
12901.6     49.154  -111.860
13089.2     48.887  -110.512
13279.6     48.674  -109.167
13472.8     48.505  -107.908
13668.8     48.371  -106.784
13867.6     48.259  -105.821
14069.3     48.157  -105.002
14273.9     48.061  -104.291
14481.5     47.968  -103.654
14692.2     47.882  -103.074
14905.9     47.807  -102.556
15122.7     47.741  -102.110
15342.7     47.684  -101.750
15565.8     47.634  -101.483
15792.2     47.586  -101.309
16021.9     47.539  -101.216
16255.0     47.492  -101.198
16491.4     47.445  -101.247
16731.3     47.397  -101.359
16974.7     47.350  -101.534
17221.6     47.303  -101.770
17472.1     47.256  -102.070
17726.2     47.209  -102.435
17984.0     47.162  -102.871
18245.6     47.115  -103.387
18511.0     47.068  -103.998
18780.2     47.017  -104.725
19053.4     46.959  -105.585
19330.5     46.881  -106.569
19611.7     46.775  -107.626
19897.0     46.641  -108.697
20186.4     46.479  -109.723
20480.0     46.296  -110.652
20777.9     46.104  -111.477
21080.1     45.909  -112.216
21386.7     45.713  -112.889
21697.8     45.518  -113.513
22013.4     45.322  -114.099
22333.6     45.127  -114.653
22658.4     44.931  -115.179
22988.0     44.736  -115.681
23322.4     44.540  -116.163
23661.6     44.345  -116.625
24005.8     44.149  -117.071
24355.0     43.954  -117.501
24709.2     43.758  -117.916
25068.6     43.563  -118.319
25433.2     43.367  -118.710
25803.2     43.172  -119.089
26178.5     42.976  -119.457
26559.3     42.781  -119.816
26945.6     42.586  -120.165
27337.5     42.390  -120.506
27735.2     42.195  -120.839
28138.6     41.999  -121.163
28547.9     41.804  -121.480
28963.1     41.608  -121.790
29384.4     41.413  -122.093
29811.8     41.217  -122.389
30245.4     41.022  -122.679
30685.3     40.826  -122.963
31131.7     40.631  -123.242
31584.5     40.435  -123.514
32043.9     40.240  -123.782
32510.0     40.044  -124.044
32982.8     39.849  -124.301
33462.6     39.653  -124.554
33949.3     39.458  -124.802
34443.1     39.262  -125.045
34944.1     39.067  -125.284
35452.4     38.871  -125.519
35968.0     38.676  -125.750
36491.2     38.480  -125.977
37022.0     38.285  -126.201
37560.5     38.089  -126.425
38106.8     37.912  -126.627
38661.1     37.752  -126.817
39223.4     37.632  -126.961
39793.9     37.539  -127.072
