Freq[Hz]     dBSPL  Phase[Deg]
177.019     59.846     0.000
179.594     59.846     0.000
182.206     59.846     0.000
184.856     59.846     0.000
187.545     59.846     0.000
190.273     59.846     0.000
193.041     59.846     0.000
195.849     59.846     0.000
198.697     59.846     0.000
201.587     59.846     0.000
204.520     59.846     0.000
207.494     59.846     0.000
210.512     59.846     0.000
213.574     59.846     0.000
216.681     59.846     0.000
219.833     59.846     0.000
223.030     59.846     0.000
226.274     59.846     0.000
229.565     59.846     0.000
232.905     59.846     0.000
236.292     59.846     0.000
239.729     59.846     0.000
243.216     59.846     0.000
246.754     59.846     0.000
250.343     59.846     0.000
253.984     59.846     0.000
257.678     59.846     0.000
261.426     59.846     0.000
265.229     59.846     0.000
269.087     59.846     0.000
273.001     59.846     0.000
276.972     59.846     0.000
281.000     59.846     0.000
285.088     59.846     0.000
289.234     59.846     0.000
293.441     59.846     0.000
297.709     59.846     0.000
302.040     59.846     0.000
306.433     59.846     0.000
310.890     59.846     0.000
315.412     59.846     0.000
320.000     59.846     0.000
324.655     59.846     0.000
329.377     59.846     0.000
334.168     59.846     0.000
339.028     59.846     0.000
343.959     59.846     0.000
348.962     59.846     0.000
354.038     59.846     0.000
359.188     59.846     0.000
364.412     59.846     0.000
369.713     59.846     0.000
375.090     59.846     0.000
380.546     59.846     0.000
386.081     59.846     0.000
391.697     59.846     0.000
397.394     59.846     0.000
403.175     59.846     0.000
409.039     59.846     0.000
414.989     59.846     0.000
421.025     59.846     0.000
427.149     59.846     0.000
433.362     59.846     0.000
439.665     59.846     0.000
446.060     59.846     0.000
452.548     59.846     0.000
459.131     59.846     0.000
465.809     59.846     0.000
472.584     59.846     0.000
479.458     59.846     0.000
486.432     59.846     0.000
493.507     59.846     0.000
500.686     59.846     0.000
507.968     59.846     0.000
515.357     59.846     0.000
522.853     59.846     0.000
530.458     59.846     0.000
538.174     59.846     0.000
546.002     59.846     0.000
553.943     59.846     0.000
562.001     59.846     0.000
570.175     59.846     0.000
578.469     59.846     0.000
586.883     59.846     0.000
595.419     59.846     0.000
604.080     59.846     0.000
612.866     59.846     0.000
621.780     59.846     0.000
630.824     59.846     0.000
640.000     59.846     0.000
649.309     59.846     0.000
658.753     59.846     0.000
668.335     59.846     0.000
678.056     59.846     0.000
687.919     59.846     0.000
697.925     59.846     0.000
708.077     59.846     0.000
718.376     59.846     0.000
728.825     59.846     0.000
739.426     59.846     0.000
750.181     59.846     0.000
761.093     59.846     0.000
772.163     59.846     0.000
783.394     59.846     0.000
794.789     59.846     0.000
806.349     59.846     0.000
818.078     59.846     0.000
829.977     59.846     0.000
842.050     59.846     0.000
854.298     59.846     0.000
866.724     59.846     0.000
879.330     59.846     0.000
892.120     59.846     0.000
905.097     59.846     0.000
918.262     59.846     0.000
931.618     59.846     0.000
945.169     59.846     0.000
958.917     59.846     0.000
972.864     59.846     0.000
987.015     59.846     0.000
1001.37     59.846     0.000
1015.94     59.846     0.000
1030.71     59.846     0.000
1045.71     59.846     0.000
1060.92     59.846     0.000
1076.35     59.846     0.000
1092.00     59.846     0.000
1107.89     59.846     0.000
1124.00     59.846     0.000
1140.35     59.846     0.000
1156.94     59.846     0.000
1173.77     59.846     0.000
1190.84     59.846     0.000
1208.16     59.846     0.000
1225.73     59.846     0.000
1243.56     59.846     0.000
1261.65     59.846     0.000
1280.00     59.846     0.000
1298.62     59.846     0.000
1317.51     59.846     0.000
1336.67     59.846     0.000
1356.11     59.846     0.000
1375.84     59.846     0.000
1395.85     59.846     0.000
1416.15     59.846     0.000
1436.75     59.846     0.000
1457.65     59.846     0.000
1478.85     59.846     0.000
1500.36     59.846     0.000
1522.19     59.846     0.000
1544.33     59.846     0.000
1566.79     59.846     0.000
1589.58     59.846     0.000
1612.70     59.846     0.000
1636.16     59.846     0.000
1659.95     59.846     0.000
1684.10     59.846     0.000
1708.60     59.846     0.000
1733.45     59.846     0.000
1758.66     59.846     0.000
1784.24     59.846     0.000
1810.19     59.846     0.000
1836.52     59.846     0.000
1863.24     59.846     0.000
1890.34     59.846     0.000
1917.83     59.846     0.000
1945.73     59.846     0.000
1974.03     59.846     0.000
2002.74     59.846     0.000
2031.87     59.846     0.000
2061.43     59.846     0.000
2091.41     59.846     0.000
2121.83     59.846     0.000
2152.69     59.846     0.000
2184.01     59.846     0.000
2215.77     59.846     0.000
2248.00     59.846     0.000
2280.70     59.846     0.000
2313.87     59.846     0.000
2347.53     59.846     0.000
2381.68     59.846     0.000
2416.32     59.846     0.000
2451.46     59.846     0.000
2487.12     59.846     0.000
2523.30     59.846     0.000
2560.00     59.846     0.000
2597.24     59.846     0.000
2635.01     59.846     0.000
2673.34     59.846     0.000
2712.23     59.846     0.000
2751.68     59.846     0.000
2791.70     59.846     0.000
2832.31     59.846     0.000
2873.50     59.846     0.000
2915.30     59.846     0.000
2957.70     59.846     0.000
3000.72     59.846     0.000
3044.37     59.846     0.000
3088.65     59.846     0.000
3133.58     59.846     0.000
3179.16     59.846     0.000
3225.40     59.846     0.000
3272.31     59.846     0.000
3319.91     59.846     0.000
3368.20     59.846     0.000
3417.19     59.846     0.000
3466.89     59.846     0.000
3517.32     59.846     0.000
3568.48     59.846     0.000
3620.39     59.846     0.000
3673.05     59.846     0.000
3726.47     59.846     0.000
3780.67     59.846     0.000
3835.67     59.846     0.000
3891.46     59.846     0.000
3948.06     59.846     0.000
4005.49     59.846     0.000
4063.75     59.846     0.000
4122.86     59.846     0.000
4182.82     59.846     0.000
4243.66     59.846     0.000
4305.39     59.846     0.000
4368.01     59.846     0.000
4431.55     59.846     0.000
4496.01     59.846     0.000
4561.40     59.846     0.000
4627.75     59.846     0.000
4695.06     59.846     0.000
4763.35     59.846     0.000
4832.64     59.846     0.000
4902.93     59.846     0.000
4974.24     59.846     0.000
5046.60     59.846     0.000
5120.00     59.846     0.000
5194.47     59.846     0.000
5270.03     59.846     0.000
5346.68     59.846     0.000
5424.45     59.846     0.000
5503.35     59.846     0.000
5583.40     59.846     0.000
5664.61     59.846     0.000
5747.01     59.846     0.000
5830.60     59.846     0.000
5915.41     59.846     0.000
6001.45     59.846     0.000
6088.74     59.846     0.000
6177.30     59.846     0.000
6267.15     59.846     0.000
6358.31     59.846     0.000
6450.80     59.846     0.000
6544.62     59.846     0.000
6639.82     59.846     0.000
6736.40     59.846     0.000
6834.38     59.846     0.000
6933.79     59.846     0.000
7034.64     59.846     0.000
7136.96     59.846     0.000
7240.77     59.846     0.000
7346.09     59.846     0.000
7452.94     59.846     0.000
7561.35     59.846     0.000
7671.33     59.846     0.000
7782.91     59.846     0.000
7896.12     59.846     0.000
8010.97     59.846     0.000
8127.49     59.846     0.000
8245.71     59.846     0.000
8365.65     59.846     0.000
8487.33     59.846     0.000
8610.78     59.846     0.000
8736.03     59.846     0.000
8863.09     59.846     0.000
8992.01     59.846     0.000
9122.80     59.846     0.000
9255.50     59.846     0.000
9390.12     59.846     0.000
9526.70     59.846     0.000
9665.27     59.846     0.000
9805.86     59.846     0.000
9948.49     59.846     0.000
10093.2     59.846     0.000
10240.0     59.846     0.000
10388.9     59.846     0.000
10540.1     59.846     0.000
10693.4     59.846     0.000
10848.9     59.846     0.000
11006.7     59.846     0.000
11166.8     59.846     0.000
11329.2     59.846     0.000
11494.0     59.846     0.000
11661.2     59.846     0.000
11830.8     59.846     0.000
12002.9     59.846     0.000
12177.5     59.846     0.000
12354.6     59.846     0.000
12534.3     59.846     0.000
12716.6     59.846     0.000
12901.6     59.846     0.000
13089.2     59.846     0.000
13279.6     59.846     0.000
13472.8     59.846     0.000
13668.8     59.846     0.000
13867.6     59.846     0.000
14069.3     59.846     0.000
14273.9     59.846     0.000
14481.5     59.846     0.000
14692.2     59.846     0.000
14905.9     59.846     0.000
15122.7     59.846     0.000
15342.7     59.846     0.000
15565.8     59.846     0.000
15792.2     59.846     0.000
16021.9     59.846     0.000
16255.0     59.846     0.000
16491.4     59.846     0.000
16731.3     59.846     0.000
16974.7     59.846     0.000
17221.6     59.846     0.000
17472.1     59.846     0.000
17726.2     59.846     0.000
17984.0     59.846     0.000
18245.6     59.846     0.000
18511.0     59.846     0.000
18780.2     59.846     0.000
19053.4     59.846     0.000
19330.5     59.846     0.000
19611.7     59.846     0.000
19897.0     59.846     0.000
20186.4     59.846     0.000
20480.0     59.846     0.000
20777.9     59.846     0.000
21080.1     59.846     0.000
21386.7     59.846     0.000
21697.8     59.846     0.000
22013.4     59.846     0.000
22333.6     59.846     0.000
22658.4     59.846     0.000
22988.0     59.846     0.000
23322.4     59.846     0.000
23661.6     59.846     0.000
24005.8     59.846     0.000
24355.0     59.846     0.000
24709.2     59.846     0.000
25068.6     59.846     0.000
25433.2     59.846     0.000
25803.2     59.846     0.000
26178.5     59.846     0.000
26559.3     59.846     0.000
26945.6     59.846     0.000
27337.5     59.846     0.000
27735.2     59.846     0.000
28138.6     59.846     0.000
28547.9     59.846     0.000
28963.1     59.846     0.000
29384.4     59.846     0.000
29811.8     59.846     0.000
30245.4     59.846     0.000
30685.3     59.846     0.000
31131.7     59.846     0.000
31584.5     59.846     0.000
32043.9     59.846     0.000
32510.0     59.846     0.000
32982.8     59.846     0.000
33462.6     59.846     0.000
33949.3     59.846     0.000
34443.1     59.846     0.000
34944.1     59.846     0.000
35452.4     59.846     0.000
35968.0     59.846     0.000
36491.2     59.846     0.000
37022.0     59.846     0.000
37560.5     59.846     0.000
38106.8     59.846     0.000
38661.1     59.846     0.000
39223.4     59.846     0.000
39793.9     59.846     0.000
