* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
207.494329	58.922419
210.512403	58.903039
213.574377	58.885572
216.680888	58.867850
219.832584	58.869956
223.030122	58.889183
226.274170	58.908522
229.565404	58.927672
232.904509	58.947100
236.292183	58.977111
239.729132	59.010078
243.216073	59.045404
246.753732	59.081125
250.342848	59.123668
253.984168	59.176577
257.678453	59.225689
261.426473	59.271495
265.229008	59.319173
269.086853	59.366428
273.000811	59.419395
276.971700	59.472385
281.000346	59.514992
285.087590	59.567296
289.234284	59.620218
293.441294	59.668325
297.709496	59.715146
302.039780	59.768108
306.433050	59.812965
310.890221	59.855320
315.412224	59.905045
320.000000	59.958020
324.654507	60.010931
329.376716	60.063865
334.167610	60.116822
339.028190	60.169801
343.959469	60.213273
348.962474	60.264755
354.038251	60.317666
359.187855	60.370599
364.412363	60.417757
369.712863	60.460116
375.090460	60.499115
380.546277	60.532397
386.081450	60.558834
391.697134	60.578153
397.394500	60.592174
403.174736	60.606400
409.039048	60.607951
414.988657	60.594845
421.024807	60.581549
427.148753	60.566552
433.361775	60.543113
439.665167	60.516073
446.060244	60.480717
452.548340	60.445454
459.130807	60.410192
465.809019	60.374900
472.584367	60.339578
479.458265	60.303663
486.432146	60.261830
493.507464	60.231652
500.685695	60.198402
507.968337	60.160590
515.356906	60.120468
522.852945	60.085491
530.458016	60.055300
538.173706	60.025067
546.001623	59.993862
553.943399	59.958534
562.000691	59.928023
570.175180	59.897763
578.468569	59.867245
586.882588	59.831990
595.418991	59.796726
604.079560	59.764209
612.866100	59.733874
621.780442	59.703672
630.824447	59.673444
640.000000	59.643885
649.309014	59.617460
658.753431	59.592600
668.335221	59.569029
678.056380	59.547155
687.918938	59.525932
697.924949	59.508486
708.076501	59.493433
718.375711	59.478161
728.824726	59.465022
739.425726	59.452663
750.180921	59.440124
761.092554	59.425871
772.162900	59.404797
783.394268	59.388209
794.789000	59.407319
806.349472	59.426707
818.078095	59.440753
829.977315	59.453929
842.049613	59.467297
854.297507	59.482858
866.723550	59.500453
879.330334	59.518425
892.120489	59.539455
905.096680	59.560789
918.261614	59.590694
931.618037	59.627287
945.168733	59.669647
958.916529	59.716800
972.864291	59.769766
987.014928	59.822755
1001.371391	59.892717
1015.936673	59.950565
1030.713812	60.019297
1045.705890	60.104519
1060.916032	60.175164
1076.347412	60.258987
1092.003245	60.330936
1107.886798	60.416155
1124.001383	60.488961
1140.350359	60.572015
1156.937137	60.642578
1173.765175	60.727795
1190.837983	60.802899
1208.159120	60.886874
1225.732199	60.970851
1243.560885	61.054830
1261.648894	61.139316
1280.000000	61.239123
1298.618029	61.328648
1317.506863	61.434548
1336.670442	61.524022
1356.112761	61.624440
1375.837875	61.730312
1395.849898	61.836229
1416.153002	61.942117
1436.751422	62.048015
1457.649452	62.175841
1478.851452	62.282839
1500.361842	62.409594
1522.185107	62.537415
1544.325799	62.665237
1566.788535	62.815000
1589.577999	62.942838
1612.698944	63.071180
1636.156190	63.220406
1659.954630	63.363187
1684.099226	63.519932
1708.595013	63.669687
1733.447100	63.823151
1758.660669	63.991100
1784.240977	64.159030
1810.193360	64.356443
1836.523229	64.538762
1863.236074	64.706704
1890.337467	64.918509
1917.833058	65.130315
1945.728583	65.298246
1974.029857	65.518166
2002.742782	65.721838
2031.873347	65.933641
2061.427625	66.145447
2091.411780	66.380348
2121.832065	66.612900
2152.694823	66.824695
2184.006490	67.036494
2215.773596	67.292156
2248.002765	67.507925
2280.700718	67.759622
2313.874274	68.015273
2347.530351	68.227069
2381.675966	68.482728
2416.318240	68.738391
